"geographicAreaM49","geographicAreaM49_description","aquastatElement","aquastatElement_description","count_after","count_bef"
"484","Mexico","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"496","Mongolia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"498","Republic of Moldova","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"499","Montenegro","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",9,0
"504","Morocco","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"508","Mozambique","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"516","Namibia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"524","Nepal","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"528","Netherlands","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"554","New Zealand","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"558","Nicaragua","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",8,0
"562","Niger","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"566","Nigeria","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"578","Norway","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"586","Pakistan","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"591","Panama","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",9,0
"600","Paraguay","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",7,0
"604","Peru","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"608","Philippines","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"616","Poland","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"620","Portugal","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"624","Guinea-Bissau","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"626","Timor-Leste","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"630","Puerto Rico","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"642","Romania","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"643","Russian Federation","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"646","Rwanda","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"686","Senegal","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"690","Seychelles","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"694","Sierra Leone","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"703","Slovakia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"704","Viet Nam","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"705","Slovenia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",9,0
"710","South Africa","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"716","Zimbabwe","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"724","Spain","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",10,0
"729","Sudan","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",8,0
"740","Suriname","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"748","Swaziland","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"752","Sweden","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"756","Switzerland","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",7,0
"760","Syrian Arab Republic","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"762","Tajikistan","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"764","Thailand","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"768","Togo","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"788","Tunisia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"792","Turkey","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"800","Uganda","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",7,0
"804","Ukraine","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"807","The former Yugoslav Republic of Macedonia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"826","United Kingdom","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"834","United Republic of Tanzania","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"840","United States of America","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"854","Burkina Faso","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"858","Uruguay","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"860","Uzbekistan","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"862","Venezuela (Bolivarian Republic of)","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"887","Yemen","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"894","Zambia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
