"geographicAreaM49","geographicAreaM49_description","aquastatElement","aquastatElement_description","count_after","count_bef"
"218","Ecuador","4550","SDG 6.4.2. Water Stress [%]",19,0
"222","El Salvador","4550","SDG 6.4.2. Water Stress [%]",27,0
"226","Equatorial Guinea","4550","SDG 6.4.2. Water Stress [%]",32,0
"231","Ethiopia","4550","SDG 6.4.2. Water Stress [%]",17,0
"233","Estonia","4550","SDG 6.4.2. Water Stress [%]",24,0
"242","Fiji","4550","SDG 6.4.2. Water Stress [%]",32,0
"246","Finland","4550","SDG 6.4.2. Water Stress [%]",29,0
"250","France","4550","SDG 6.4.2. Water Stress [%]",15,0
"262","Djibouti","4550","SDG 6.4.2. Water Stress [%]",19,0
"266","Gabon","4550","SDG 6.4.2. Water Stress [%]",32,0
"268","Georgia","4550","SDG 6.4.2. Water Stress [%]",27,0
"270","Gambia","4550","SDG 6.4.2. Water Stress [%]",37,0
"276","Germany","4550","SDG 6.4.2. Water Stress [%]",19,0
"288","Ghana","4550","SDG 6.4.2. Water Stress [%]",49,0
"300","Greece","4550","SDG 6.4.2. Water Stress [%]",17,0
"320","Guatemala","4550","SDG 6.4.2. Water Stress [%]",18,0
"324","Guinea","4550","SDG 6.4.2. Water Stress [%]",32,0
"328","Guyana","4550","SDG 6.4.2. Water Stress [%]",27,0
"332","Haiti","4550","SDG 6.4.2. Water Stress [%]",28,0
"340","Honduras","4550","SDG 6.4.2. Water Stress [%]",16,0
"348","Hungary","4550","SDG 6.4.2. Water Stress [%]",29,0
"352","Iceland","4550","SDG 6.4.2. Water Stress [%]",39,0
"356","India","4550","SDG 6.4.2. Water Stress [%]",9,0
"360","Indonesia","4550","SDG 6.4.2. Water Stress [%]",29,0
"364","Iran (Islamic Republic of)","4550","SDG 6.4.2. Water Stress [%]",26,0
"368","Iraq","4550","SDG 6.4.2. Water Stress [%]",7,0
"372","Ireland","4550","SDG 6.4.2. Water Stress [%]",29,0
"376","Israel","4550","SDG 6.4.2. Water Stress [%]",29,0
"380","Italy","4550","SDG 6.4.2. Water Stress [%]",19,0
"384","Côte d'Ivoire","4550","SDG 6.4.2. Water Stress [%]",32,0
"388","Jamaica","4550","SDG 6.4.2. Water Stress [%]",26,0
"392","Japan","4550","SDG 6.4.2. Water Stress [%]",21,0
"398","Kazakhstan","4550","SDG 6.4.2. Water Stress [%]",17,0
"400","Jordan","4550","SDG 6.4.2. Water Stress [%]",14,0
"402","West Bank(-1995)","4550","SDG 6.4.2. Water Stress [%]",19,0
"404","Kenya","4550","SDG 6.4.2. Water Stress [%]",29,0
"408","Democratic People's Republic of Korea","4550","SDG 6.4.2. Water Stress [%]",24,0
"410","Republic of Korea","4550","SDG 6.4.2. Water Stress [%]",16,0
"414","Kuwait","4550","SDG 6.4.2. Water Stress [%]",25,0
"417","Kyrgyzstan","4550","SDG 6.4.2. Water Stress [%]",25,0
"418","Lao People's Democratic Republic","4550","SDG 6.4.2. Water Stress [%]",14,0
"422","Lebanon","4550","SDG 6.4.2. Water Stress [%]",13,0
"426","Lesotho","4550","SDG 6.4.2. Water Stress [%]",32,0
"428","Latvia","4550","SDG 6.4.2. Water Stress [%]",12,0
"430","Liberia","4550","SDG 6.4.2. Water Stress [%]",32,0
"434","Libya","4550","SDG 6.4.2. Water Stress [%]",21,0
"440","Lithuania","4550","SDG 6.4.2. Water Stress [%]",24,0
"442","Luxembourg","4550","SDG 6.4.2. Water Stress [%]",24,0
"450","Madagascar","4550","SDG 6.4.2. Water Stress [%]",35,0
"454","Malawi","4550","SDG 6.4.2. Water Stress [%]",25,0
"458","Malaysia","4550","SDG 6.4.2. Water Stress [%]",29,0
"466","Mali","4550","SDG 6.4.2. Water Stress [%]",32,0
"478","Mauritania","4550","SDG 6.4.2. Water Stress [%]",29,0
"484","Mexico","4550","SDG 6.4.2. Water Stress [%]",18,0
"496","Mongolia","4550","SDG 6.4.2. Water Stress [%]",14,0
"498","Republic of Moldova","4550","SDG 6.4.2. Water Stress [%]",27,0
"504","Morocco","4550","SDG 6.4.2. Water Stress [%]",11,0
"508","Mozambique","4550","SDG 6.4.2. Water Stress [%]",29,0
"512","Oman","4550","SDG 6.4.2. Water Stress [%]",24,0
"516","Namibia","4550","SDG 6.4.2. Water Stress [%]",23,0
"524","Nepal","4550","SDG 6.4.2. Water Stress [%]",19,0
"528","Netherlands","4550","SDG 6.4.2. Water Stress [%]",19,0
"558","Nicaragua","4550","SDG 6.4.2. Water Stress [%]",19,0
"562","Niger","4550","SDG 6.4.2. Water Stress [%]",31,0
"566","Nigeria","4550","SDG 6.4.2. Water Stress [%]",29,0
"578","Norway","4550","SDG 6.4.2. Water Stress [%]",23,0
"586","Pakistan","4550","SDG 6.4.2. Water Stress [%]",44,0
"591","Panama","4550","SDG 6.4.2. Water Stress [%]",9,0
"598","Papua New Guinea","4550","SDG 6.4.2. Water Stress [%]",19,0
"600","Paraguay","4550","SDG 6.4.2. Water Stress [%]",8,0
"604","Peru","4550","SDG 6.4.2. Water Stress [%]",9,0
"608","Philippines","4550","SDG 6.4.2. Water Stress [%]",13,0
"616","Poland","4550","SDG 6.4.2. Water Stress [%]",19,0
"620","Portugal","4550","SDG 6.4.2. Water Stress [%]",19,0
"624","Guinea-Bissau","4550","SDG 6.4.2. Water Stress [%]",28,0
"634","Qatar","4550","SDG 6.4.2. Water Stress [%]",25,0
"638","Réunion","4550","SDG 6.4.2. Water Stress [%]",22,0
"642","Romania","4550","SDG 6.4.2. Water Stress [%]",49,0
"643","Russian Federation","4550","SDG 6.4.2. Water Stress [%]",25,0
"646","Rwanda","4550","SDG 6.4.2. Water Stress [%]",19,0
"682","Saudi Arabia","4550","SDG 6.4.2. Water Stress [%]",27,0
"686","Senegal","4550","SDG 6.4.2. Water Stress [%]",29,0
"694","Sierra Leone","4550","SDG 6.4.2. Water Stress [%]",32,0
"703","Slovakia","4550","SDG 6.4.2. Water Stress [%]",22,0
"704","Viet Nam","4550","SDG 6.4.2. Water Stress [%]",16,0
"705","Slovenia","4550","SDG 6.4.2. Water Stress [%]",17,0
"706","Somalia","4550","SDG 6.4.2. Water Stress [%]",29,0
"710","South Africa","4550","SDG 6.4.2. Water Stress [%]",19,0
"716","Zimbabwe","4550","SDG 6.4.2. Water Stress [%]",32,0
"724","Spain","4550","SDG 6.4.2. Water Stress [%]",19,0
"729","Sudan","4550","SDG 6.4.2. Water Stress [%]",7,0
"740","Suriname","4550","SDG 6.4.2. Water Stress [%]",32,0
"748","Swaziland","4550","SDG 6.4.2. Water Stress [%]",39,0
"752","Sweden","4550","SDG 6.4.2. Water Stress [%]",39,0
"756","Switzerland","4550","SDG 6.4.2. Water Stress [%]",7,0
"760","Syrian Arab Republic","4550","SDG 6.4.2. Water Stress [%]",15,0
"762","Tajikistan","4550","SDG 6.4.2. Water Stress [%]",13,0
"764","Thailand","4550","SDG 6.4.2. Water Stress [%]",12,0
"768","Togo","4550","SDG 6.4.2. Water Stress [%]",32,0
"780","Trinidad and Tobago","4550","SDG 6.4.2. Water Stress [%]",14,0
"784","United Arab Emirates","4550","SDG 6.4.2. Water Stress [%]",19,0
"788","Tunisia","4550","SDG 6.4.2. Water Stress [%]",19,0
"795","Turkmenistan","4550","SDG 6.4.2. Water Stress [%]",13,0
"800","Uganda","4550","SDG 6.4.2. Water Stress [%]",49,0
"804","Ukraine","4550","SDG 6.4.2. Water Stress [%]",27,0
"818","Egypt","4550","SDG 6.4.2. Water Stress [%]",9,0
"826","United Kingdom","4550","SDG 6.4.2. Water Stress [%]",11,0
"834","United Republic of Tanzania","4550","SDG 6.4.2. Water Stress [%]",25,0
"840","United States of America","4550","SDG 6.4.2. Water Stress [%]",29,0
"854","Burkina Faso","4550","SDG 6.4.2. Water Stress [%]",8,0
"858","Uruguay","4550","SDG 6.4.2. Water Stress [%]",54,0
"860","Uzbekistan","4550","SDG 6.4.2. Water Stress [%]",25,0
"862","Venezuela (Bolivarian Republic of)","4550","SDG 6.4.2. Water Stress [%]",29,0
"887","Yemen","4550","SDG 6.4.2. Water Stress [%]",19,0
"894","Zambia","4550","SDG 6.4.2. Water Stress [%]",27,0
